Frame_Name,Capture_Date,Region,Building_ID,Coordinates,Mask_Filename,Mask_Exists,Mask_Corrupted,Label_1,Label_2,Label_3,Label_4
FRAME/3_0894.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B137,"26.54741, -77.09659",3_0894_B0XX_0_Level2.jpg,True,False,2,1,1,
FRAME/3_0894.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B145,"26.54706, -77.09621",3_0894_B0XX_0_Level3.jpg,True,False,3,2,1,
FRAME/3_0894.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B144,"26.54705, -77.09671",3_0894_B0XX_0_Level4.jpg,True,False,4,2,1,
FRAME/3_0894.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B142,"26.54724, -77.0967",3_0894_B0XX_1_Level3.jpg,True,False,3,1,1,
FRAME/2_0830.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B086,"26.55496, -77.10189",2_0830_B0XX_0_Level0.jpg,True,False,0,2,1,
FRAME/2_0830.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B085,"26.55477, -77.1021",2_0830_B0XX_0_Level1.jpg,True,False,1,1,1,
FRAME/2_0830.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B081,"26.55489, -77.10226",2_0830_B0XX_0_Level4.jpg,True,False,4,2,1,
FRAME/1_0536.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B014,"26.55662, -77.10244",1_0536_B0XX_0_Level2.jpg,True,False,2,1,2,
FRAME/1_0536.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B012,"26.55637, -77.10258",1_0536_B0XX_0_Level3.jpg,True,False,3,1,2,
FRAME/1_0536.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B013,"26.55673, -77.10222",1_0536_B0XX_0_Level4.jpg,True,False,4,1,2,
FRAME/1_0536.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B009,"26.55636, -77.10179",1_0536_B0XX_1_Level2.jpg,True,False,2,2,2,
FRAME/3_0085.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B006,"26.55441, -77.09877",3_0085_B0XX_0_Level1.jpg,True,False,1,1,1,
FRAME/3_0085.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B091,"26.5539, -77.09918",3_0085_B0XX_0_Level2.jpg,True,False,2,1,1,
FRAME/3_0085.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B092,"26.55376, -77.09927",3_0085_B0XX_0_Level3.jpg,True,False,3,1,1,
FRAME/3_0085.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B003,"26.55452, -77.09913",3_0085_B0XX_1_Level2.jpg,True,False,2,1,1,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B032,"26.55639, -77.1076",2_0021_B0XX_0_Level0.jpg,True,False,0,1,1,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B029,"26.55629, -77.10637",2_0021_B0XX_0_Level1.jpg,True,False,1,1,1,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B030,"26.55618, -77.10723",2_0021_B0XX_0_Level2.jpg,True,False,2,1,1,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B024,"26.55673, -77.10718",2_0021_B0XX_0_Level4.jpg,True,False,4,1,1,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B025,"26.55653, -77.10668",2_0021_B0XX_0_Level5.jpg,True,False,5,1,1,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B031,"26.55656, -77.10738",2_0021_B0XX_1_Level1.jpg,True,False,1,1,0,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B028,"26.55721, -77.10666",2_0021_B0XX_1_Level4.jpg,True,False,4,1,0,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B028,"26.55721, -77.10666",2_0021_B0XX_1_Level5.jpg,True,False,5,1,0,
FRAME/2_0021.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B026,"26.55727, -77.10746",2_0021_B0XX_6_Level3.jpg,True,False,3,1,0,
FRAME/3_0705.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B137,"26.54741, -77.09659",3_0705_B0XX_0_Level1.jpg,True,False,1,1,0,
FRAME/3_0705.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B145,"26.54706, -77.09621",3_0705_B0XX_0_Level3.jpg,True,False,3,2,0,
FRAME/3_0705.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B144,"26.54705, -77.09671",3_0705_B0XX_0_Level4.jpg,True,False,4,2,0,
FRAME/3_0705.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B142,"26.54724, -77.0967",3_0705_B0XX_1_Level3.jpg,True,False,3,1,0,
FRAME/2_0430.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B037,"26.55504, -77.10668",2_0430_B0XX_0_Level0.jpg,True,False,0,1,1,
FRAME/2_0430.jpg,09 September 2019,"Marsh Harbor, Abaco, the bahamas",B038,"26.55421, -77.10627",2_0430_B0XX_0_Level1.jpg,True,False,1,2,1,
